
Checkpoint: global_step320 | PPL: 8952.9605
Checkpoint: global_step352 | PPL: 7871.74
Checkpoint: global_step384 | PPL: 6911.509
Checkpoint: global_step416 | PPL: 6220.8716
Checkpoint: global_step448 | PPL: 5669.7494
Checkpoint: global_step480 | PPL: 5133.2787

Checkpoint: global_step1024 | PPL: 3116.6259
Checkpoint: global_step1088 | PPL: 3317.3496
Checkpoint: global_step1120 | PPL: 3430.97
Checkpoint: global_step512 | PPL: 4640.0169
Checkpoint: global_step576 | PPL: 3933.549
Checkpoint: global_step640 | PPL: 3475.5678
Checkpoint: global_step704 | PPL: 3143.0776
Checkpoint: global_step768 | PPL: 2980.0097
Checkpoint: global_step832 | PPL: 2885.7096
Checkpoint: global_step896 | PPL: 2912.5909
Checkpoint: global_step960 | PPL: 2971.0036
