Checkpoint: global_step100 | PPL: 14962.9813
Checkpoint: global_step128 | PPL: 18616.5189
Checkpoint: global_step160 | PPL: 14394.2007
Checkpoint: global_step192 | PPL: 10985.9279
Checkpoint: global_step224 | PPL: 8490.0397
Checkpoint: global_step256 | PPL: 6680.5028
Checkpoint: global_step288 | PPL: 5374.0062
Checkpoint: global_step32 | PPL: 27306.4301
Checkpoint: global_step320 | PPL: 4497.8686
Checkpoint: global_step64 | PPL: 18981.9936
Checkpoint: global_step96 | PPL: 14962.9813
Checkpoint: global_step320 | PPL: 4497.8686
Checkpoint: global_step352 | PPL: 3780.1067
Checkpoint: global_step384 | PPL: 3273.8464
Checkpoint: global_step416 | PPL: 2913.739
Checkpoint: global_step448 | PPL: 2649.1465
Checkpoint: global_step480 | PPL: 2439.9859
